Organization,Location Description,Model Number,Serial Number,PLACEMENT,Contact Name,Contact Phone,Email Address,Comments,Source,Input Method,Feature Name,Lat,Long
Palo Alto AED Program,"2700 El Camino Real, Palo Alto, CA, 94306, US",Physio Control LifePak CR Plus,41401228,Right of concession window,Tony Petithomme,650 444 7506,tony.petithomme@cityofpaloalto.org,,,,Automated External Defibrilator: 36,-122.1434448,37.4230705
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401226,OES Director's Vehicle,Nathan Rainey,650-617-3197,nathaniel.rainey@cityofpaloalto.org,,,,Automated External Defibrilator: 37,-122.1595397,37.4442475
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401253,Police Patrol,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 38,-122.1595397,37.4442475
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401194,Police Patrol,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 39,-122.1595397,37.4442475
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401259,Police Patrol,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 40,-122.1595397,37.4442475
Palo Alto AED Program,"1007 Elwell Court, Palo Alto, CA, 94303, US",Philips HeartStart Onsite,A08B-02552,In AED wall mounted box left of front lobby above printer,Tom Kaiser,650-496-6983,thomas.kaiser@cityofpaloalto.org,,,,Automated External Defibrilator: 50,-122.1037406,37.4323984
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401254,Per Ian Hagerman 4/16/2014: awaiting installation,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 52,-122.1595397,37.4442475
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401266,Per Ian Hagerman 4/16/2014: awaiting installation,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 53,-122.1595397,37.4442475
Palo Alto AED Program,"275 Forest Avenue, Palo Alto, CA, 94301, US",Physio Control LifePak CR Plus,41401274,Per Ian Hagerman 4/16/2014: awaiting installation,Wayne Benitez,650-329-2413,wayne.benitez@cityofpaloalto.org,,,,Automated External Defibrilator: 54,-122.1595397,37.4442475
"Pillsbury Winthrop Shaw Pittman, LLP","2550 Hanover Street, Palo Alto, CA, 94034-1115, US",Defibtech Lifeline,101019298,Two West elevator lobby,Lisa Da Rosa,(650) 233-4731,lisa.darosa@pillsburylaw.com,,cpa,heads up,Automated External Defibrilator: 55,-122.1497595,37.4183116
"Pillsbury Winthrop Shaw Pittman, LLP","2550 Hanover Street, Palo Alto, CA, 94034-1115, US",Defibtech Lifeline,101019279,Main Lunchroom,Lisa Da Rosa,(650) 233-4731,lisa.darosa@pillsburylaw.com,,cpa,heads up,Automated External Defibrilator: 56,-122.1497597,37.4183111
Wilson Sonsini Goodrich & Rosati,"650 Page Mill Rd, Palo Alto, CA, 94306, US",Defibtech Lifeline,101026153,FH 1 Core,Pam Gremore,(650)565-7200,pgremore@wsgr.com,,cpa,heads up,Automated External Defibrilator: 58,-122.1445447,37.4214906
Wilson Sonsini Goodrich & Rosati,"650 Page Mill Rd, Palo Alto, CA, 94306, US",Defibtech Lifeline,101026177,Rotunda,Pam Gremore,(650)565-7200,pgremore@wsgr.com,,cpa,heads up,Automated External Defibrilator: 59,-122.1445450,37.4214920
