RECORD_ID,BUSINESS_NAME,ADDRESS_LINE,ZIP,RECORD_OPEN_DATE,BUSINESS_SUB_INDUSTRY,SPECIFIC_USE,TTL_EMPLOYEE_COUNT,TTL_LEASED_PARKING,TTL_PROVIDED_PARKING,TTL_SQUARE_FOOTAGE
16BRC-00368,1185 Design,"941 Emerson ST, SUITE",94301,"3/3/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,22,0,4000
16BRC-00811,12 Labs,"378 Cambridge AV, SUITE C",94306,"3/11/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,0,0,417
16BRC-00925,137 Elm Fashion LLC,"855 El Camino Real, SUITE SUITE 10A",94301,"3/17/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,10,300
16BRC-00702,241 Curtner Avenue Apartments,"241 Curtner AV, SUITE",94306,"3/8/2016""  ""12\:00\:00 AM",Multi Family,Multiple-Family,0-25,0,20,14000
16BRC-00328,2b design home LLC DBA beyt by 2b design,"855 El Camino Real, SUITE 120",94301,"3/2/2016""  ""12\:00\:00 AM",Retail,General Retail,0-25,0,0,838
16BRC-01982,"2NG Labs, LLC","409 Sherman AV, SUITE 200",94306,"5/25/2016""  ""12\:00\:00 AM",Office,Computer Programming & Support,0-25,0,0,100
16BRC-02092,3 Potato 4,"649 Stanford Shopping, SUITE 240C",94304,"8/2/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Restaurant,0-25,0,0,782
16BRC-01170,"324Cafe, Inc. - DBA Sliderbar",324 University AV,94301,"3/24/2016""  ""12\:00\:00 AM",Eating & Drinking Establishments,Eating and Drinking Services,26-100,1,0,1600
16BRC-00696,3440 Ramona Apartments,"3440 Ramona ST, SUITE",94306,"3/8/2016""  ""12\:00\:00 AM",Multi Family,Multiple-Family,0-25,0,14,11260
16BRC-02150,"3TEN8, Inc.","450 Ramona ST, SUITE 450",94301,"10/10/2016""  ""12\:00\:00 AM",Office,Professional and General Business,0-25,5,0,1000
